,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay
0,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.799,0.8218,0.1755,0.1654,0.085568,0.0796681,9,1.5,0.9,10,0.3,499,0.5,0,0.09,0.0,0.08,1
1,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.5856,0.6304,0.2368,0.2253,0.1558469,0.1478634,9,1.5,0.9,10,0.3,499,0.5,0,0.08,0.0,0.08,2
2,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.5128,0.5388,0.2512,0.2452,0.175352,0.175055,9,1.5,0.9,10,0.3,499,0.5,0,0.08,0.0,0.08,3
3,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.4873,0.5378,0.2551,0.2446,0.1806696,0.174233,9,1.5,0.9,10,0.3,498,0.5,0,0.08,0.0,0.08,4
4,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.4335,0.482,0.2635,0.2537,0.1924275,0.1884504,9,1.5,0.9,10,0.3,497,0.5,0,0.09,0.0,0.09,5
5,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.3893,0.4118,0.2697,0.2644,0.2016849,0.2044835,9,1.5,0.9,10,0.3,497,0.5,0,0.09,0.0,0.08,6
6,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.3439,0.3751,0.2748,0.269,0.2092866,0.2111793,9,1.5,0.9,10,0.3,497,0.5,0,0.08,0.0,0.08,7
7,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.2324,0.2785,0.2858,0.2793,0.2267584,0.2279099,9,1.5,0.9,10,0.3,496,0.5,0,0.09,0.0,0.09,8
8,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.1584,0.1529,0.2912,0.2897,0.2352765,0.2458616,9,1.5,0.9,10,0.3,495,0.5,0,0.08,0.0,0.08,9
9,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.071,0.107,0.2976,0.2924,0.2456647,0.2514095,9,1.5,0.9,10,0.3,495,0.5,0,0.08,0.0,0.08,10
10,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0925,0.0698,0.2964,0.2963,0.2437488,0.2578464,9,1.5,0.9,10,0.3,495,0.5,0,0.08,0.01,0.08,11
11,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.1018,0.013,0.2948,0.3013,0.2418536,0.2664042,9,1.5,0.9,10,0.3,494,0.5,0,0.08,0.0,0.09,12
12,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0618,0.0495,0.2975,0.2967,0.2461456,0.2579806,9,1.5,0.9,10,0.3,493,0.5,0,0.08,0.0,0.08,13
13,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0654,0.0783,0.2963,0.2938,0.2443013,0.2524199,9,1.5,0.9,10,0.3,493,0.5,0,0.08,0.0,0.08,14
14,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0323,0.0856,0.2987,0.2934,0.248211,0.251236,9,1.5,0.9,10,0.3,493,0.5,0,0.08,0.0,0.08,15
15,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0365,0.0775,0.2988,0.2937,0.248337,0.2513683,9,1.5,0.9,10,0.3,492,0.5,0,0.08,0.0,0.08,16
16,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.1005,0.082,0.2951,0.2935,0.2422007,0.2518657,9,1.5,0.9,10,0.3,491,0.5,0,0.08,0.0,0.08,17
17,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0615,0.0582,0.2982,0.2943,0.2471762,0.254031,9,1.5,0.9,10,0.3,491,0.5,0,0.08,0.0,0.08,18
18,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0512,0.0284,0.2986,0.296,0.2478819,0.2579503,9,1.5,0.9,10,0.3,491,0.5,0,0.08,0.0,0.08,19
19,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0022,0.0058,0.3032,0.2968,0.2550966,0.2607651,9,1.5,0.9,10,0.3,490,0.5,0,0.08,0.0,0.08,20
20,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.023,-0.0206,0.3054,0.2984,0.2591758,0.2641042,9,1.5,0.9,10,0.3,489,0.5,0,0.08,0.0,0.08,21
21,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.022,-0.0223,0.3005,0.2992,0.250838,0.2653704,9,1.5,0.9,10,0.3,489,0.5,0,0.08,0.0,0.08,22
22,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0241,-0.0221,0.305,0.2985,0.2584324,0.2650309,9,1.5,0.9,10,0.3,489,0.5,0,0.08,0.0,0.08,23
23,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0016,-0.0426,0.304,0.3025,0.2575221,0.2718357,9,1.5,0.9,10,0.3,488,0.5,0,0.08,0.0,0.08,24
24,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0255,-0.0689,0.3041,0.3044,0.2572614,0.2756938,9,1.5,0.9,10,0.3,487,0.5,0,0.08,0.0,0.08,25
25,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0712,0.0065,0.2972,0.2999,0.2456337,0.2672969,9,1.5,0.9,10,0.3,487,0.5,0,0.08,0.01,0.08,26
26,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0902,0.0126,0.2957,0.2991,0.2432461,0.2656128,9,1.5,0.9,10,0.3,487,0.5,0,0.08,0.0,0.08,27
27,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0191,-0.0302,0.3009,0.3016,0.2513908,0.2701599,9,1.5,0.9,10,0.3,486,0.5,0,0.08,0.01,0.08,28
28,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0078,-0.0125,0.3022,0.2999,0.254131,0.2658339,9,1.5,0.9,10,0.3,485,0.5,0,0.08,0.01,0.08,29
29,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0234,0.0107,0.3044,0.2979,0.2578507,0.2622826,9,1.5,0.9,10,0.3,485,0.5,0,0.08,0.0,0.08,30
30,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0444,0.0126,0.3008,0.2994,0.2517473,0.2654605,9,1.5,0.9,10,0.3,485,0.5,0,0.08,0.0,0.08,31
31,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0604,-0.0329,0.2987,0.3027,0.2485228,0.2707335,9,1.5,0.9,10,0.3,484,0.5,0,0.08,0.0,0.08,32
32,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0743,-0.0348,0.2974,0.3027,0.2461099,0.2708589,9,1.5,0.9,10,0.3,483,0.5,0,0.08,0.0,0.08,33
33,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0479,-0.0534,0.2993,0.3042,0.2492192,0.2745157,9,1.5,0.9,10,0.3,483,0.5,0,0.08,0.0,0.08,34
34,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0788,-0.0771,0.2955,0.3051,0.2429822,0.2772939,9,1.5,0.9,10,0.3,483,0.5,0,0.08,0.0,0.08,35
35,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0515,-0.0709,0.2982,0.3049,0.246975,0.277574,9,1.5,0.9,10,0.3,482,0.5,0,0.08,0.0,0.08,36
36,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.046,-0.0445,0.2984,0.3023,0.2479576,0.27294,9,1.5,0.9,10,0.3,481,0.5,0,0.08,0.0,0.08,37
37,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0374,-0.0261,0.3013,0.3012,0.2526966,0.2714976,9,1.5,0.9,10,0.3,481,0.5,0,0.08,0.0,0.08,38
38,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0052,-0.0384,0.3032,0.3018,0.255963,0.2720377,9,1.5,0.9,10,0.3,481,0.5,0,0.08,0.0,0.08,39
39,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0246,-0.0405,0.3039,0.3015,0.2573486,0.2715785,9,1.5,0.9,10,0.3,480,0.5,0,0.08,0.0,0.08,40
40,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0642,-0.0327,0.3081,0.3011,0.2647683,0.2699764,9,1.5,0.9,10,0.3,479,0.5,0,0.08,0.0,0.08,41
41,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0268,-0.046,0.3023,0.3046,0.2549505,0.2766685,9,1.5,0.9,10,0.3,479,0.5,0,0.08,0.0,0.08,42
42,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0725,-0.0608,0.2971,0.3049,0.246172,0.278203,9,1.5,0.9,10,0.3,479,0.5,0,0.08,0.0,0.08,43
43,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0595,-0.047,0.2978,0.3034,0.2483601,0.2737092,9,1.5,0.9,10,0.3,478,0.5,0,0.08,0.0,0.08,44
44,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0291,-0.0665,0.2988,0.3039,0.249423,0.2748151,9,1.5,0.9,10,0.3,477,0.5,0,0.08,0.0,0.08,45
45,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0065,-0.055,0.3024,0.3038,0.2555751,0.274174,9,1.5,0.9,10,0.3,477,0.5,0,0.08,0.0,0.08,46
46,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0302,-0.0438,0.2995,0.303,0.2507175,0.2734437,9,1.5,0.9,10,0.3,477,0.5,0,0.08,0.0,0.08,47
47,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0199,-0.036,0.302,0.3032,0.2557342,0.2721729,9,1.5,0.9,10,0.3,476,0.5,0,0.08,0.0,0.08,48
48,Prok_Taxa00207,ecol_ts,random_01,runif_ts,0.0221,-0.0413,0.3028,0.3035,0.257042,0.2721895,9,1.5,0.9,10,0.3,475,0.5,0,0.08,0.0,0.08,49
49,Prok_Taxa00207,ecol_ts,random_01,runif_ts,-0.0256,-0.0593,0.3054,0.3039,0.2614591,0.2729832,9,1.5,0.9,10,0.3,475,0.5,0,0.08,0.0,0.08,50
