,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
0,Prok_Taxa00004,0.0,2.0,0.4,1.5,0.9763,0.7606,0.054,0.1746,0.0075863,0.0785776
1,Prok_Taxa00005,0.0,0.8,0.8,0.5,0.9296,0.0933,0.1451,0.2498,0.0547658,0.1607547
2,Prok_Taxa00006,0.6,2.0,0.6,0.8,0.9758,0.6438,0.0546,0.2055,0.0077418,0.108817
3,Prok_Taxa00007,0.4,1.5,0.6,2.0,0.9806,0.8508,0.049,0.1352,0.0062371,0.0471397
4,Prok_Taxa00009,0.4,1.5,0.2,1.5,0.988,0.8785,0.0385,0.1203,0.0038491,0.0373209
5,Prok_Taxa00010,0.9,0.5,0.6,2.0,0.9802,0.8775,0.0494,0.1374,0.0063551,0.0486856
6,Prok_Taxa00011,0.8,2.0,0.8,2.0,0.9814,0.9002,0.0479,0.1229,0.0059741,0.0389419
7,Prok_Taxa00013,0.8,0.8,0.8,0.8,0.9746,0.8354,0.0564,0.146,0.0082647,0.0549056
8,Prok_Taxa00014,0.8,2.0,0.4,0.5,0.9855,0.1535,0.0426,0.2496,0.0047309,0.160597
9,Prok_Taxa00016,0.0,0.8,0.6,0.5,0.9647,0.8058,0.0657,0.1551,0.0112234,0.0619975
10,Prok_Taxa00017,0.0,0.5,0.0,0.5,0.921,0.6874,0.0971,0.2121,0.0245467,0.1159419
11,Prok_Taxa00018,0.0,0.5,0.6,1.5,0.9202,0.2782,0.0976,0.2472,0.0247894,0.1575057
12,Prok_Taxa00020,0.4,0.8,0.8,0.8,0.9541,0.4163,0.0747,0.2398,0.0145154,0.1481882
13,Prok_Taxa00021,0.0,1.0,0.6,1.0,0.9026,0.0786,0.1073,0.251,0.0299736,0.1623613
14,Prok_Taxa00022,0.0,1.5,0.4,1.0,0.9605,0.7775,0.0694,0.16,0.0125276,0.0659898
15,Prok_Taxa00023,0.0,0.5,0.8,0.5,0.9366,0.0931,0.1463,0.2498,0.0556919,0.1607885
16,Prok_Taxa00024,0.8,2.0,0.8,0.5,0.9034,0.09,0.1519,0.2499,0.060042,0.1608949
17,Prok_Taxa00025,0.0,1.5,0.4,1.0,0.9196,0.1005,0.098,0.2495,0.0249807,0.1604593
18,Prok_Taxa00026,0.9,1.0,0.9,0.5,0.9874,0.85,0.0396,0.1325,0.0040853,0.0452727
19,Prok_Taxa00027,0.6,1.0,0.6,0.8,0.9793,0.881,0.0505,0.1205,0.0066414,0.0374077
20,Prok_Taxa00028,0.0,2.0,0.6,0.5,0.8688,0.1209,0.1235,0.2499,0.0396765,0.1609552
21,Prok_Taxa00029,0.0,2.0,0.6,0.8,0.8796,0.2404,0.1186,0.2497,0.0366029,0.1606356
22,Prok_Taxa00031,0.8,1.5,0.8,0.8,0.894,0.8343,0.1118,0.2396,0.0325078,0.147895
23,Prok_Taxa00032,0.0,1.0,0.8,0.5,0.9317,0.093,0.1458,0.2497,0.0552737,0.160731
24,Prok_Taxa00034,0.0,1.0,0.0,0.5,0.9224,0.5839,0.0963,0.2299,0.0241214,0.1361677
25,Prok_Taxa00035,0.6,1.0,0.6,1.5,0.9701,0.8453,0.0605,0.137,0.0095218,0.0483976
26,Prok_Taxa00036,0.6,2.0,0.0,0.5,0.9073,0.1337,0.1049,0.2583,0.0286543,0.1719224
27,Prok_Taxa00037,0.6,1.5,0.6,2.0,0.9524,0.1499,0.076,0.2501,0.0150265,0.1611331
28,Prok_Taxa00038,0.0,1.5,0.6,0.8,0.8935,0.1135,0.112,0.2496,0.0326101,0.1605455
29,Prok_Taxa00039,0.6,1.5,0.6,1.0,0.9445,0.0229,0.0819,0.2529,0.0174513,0.1647575
30,Prok_Taxa00040,0.4,0.5,0.2,1.0,0.9868,0.8898,0.0404,0.1173,0.0042417,0.0354777
31,Prok_Taxa00041,0.6,2.0,0.4,2.0,0.9701,0.7209,0.0606,0.174,0.00954,0.0779962
32,Prok_Taxa00042,0.6,0.5,0.2,0.5,0.9748,0.853,0.0557,0.1378,0.0080641,0.0489666
33,Prok_Taxa00043,0.6,2.0,0.6,1.5,0.9362,-0.02,0.0876,0.2545,0.019983,0.1669662
34,Prok_Taxa00044,0.6,0.5,0.6,0.5,0.9648,0.7213,0.0656,0.176,0.0111828,0.0798213
35,Prok_Taxa00046,0.0,0.5,0.0,0.5,0.9227,0.6386,0.0961,0.198,0.0240475,0.1010351
36,Prok_Taxa00049,0.4,0.5,0.0,0.5,0.9591,0.7637,0.0706,0.1826,0.0129596,0.0858914
37,Prok_Taxa00050,0.0,2.0,0.6,0.8,0.9597,0.1458,0.0704,0.2493,0.0129001,0.1601822
38,Prok_Taxa00051,0.0,2.0,0.4,0.8,0.9649,0.607,0.0655,0.2063,0.0111698,0.1096777
39,Prok_Taxa00053,0.0,1.5,0.0,0.5,0.617,0.0964,0.1963,0.2509,0.1002613,0.1622234
40,Prok_Taxa00055,0.4,1.5,0.6,0.8,0.9809,0.8907,0.0485,0.1197,0.0061215,0.0369108
41,Prok_Taxa00056,0.6,2.0,0.9,1.0,0.9739,0.3753,0.0567,0.2482,0.0083544,0.158694
42,Prok_Taxa00058,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
43,Prok_Taxa00059,0.8,0.5,0.6,0.8,0.9785,0.847,0.0515,0.134,0.0068967,0.0462835
44,Prok_Taxa00061,0.0,1.5,0.4,1.0,0.955,0.0884,0.074,0.2537,0.0142365,0.1658842
45,Prok_Taxa00062,0.9,0.8,0.8,1.0,0.9823,0.8312,0.047,0.1469,0.0057493,0.0555889
46,Prok_Taxa00063,0.8,1.5,0.0,1.0,0.9647,0.7322,0.0657,0.1733,0.0112373,0.0774191
47,Prok_Taxa00064,0.4,1.5,0.6,2.0,0.9861,0.8358,0.0414,0.1445,0.0044648,0.0537924
48,Prok_Taxa00065,0.0,1.5,0.0,2.0,0.931,0.1485,0.0911,0.2485,0.0215689,0.1591468
49,Prok_Taxa00066,0.6,1.0,0.0,0.5,0.8021,0.0995,0.1489,0.2497,0.0577005,0.1607079
50,Prok_Taxa00067,0.0,2.0,0.0,0.5,0.744,0.0805,0.1666,0.2527,0.0722483,0.1645654
51,Prok_Taxa00068,0.8,0.5,0.2,2.0,0.9911,0.8653,0.0331,0.1432,0.0028576,0.0528077
52,Prok_Taxa00069,0.2,1.5,0.4,0.5,0.9834,0.6906,0.0453,0.1838,0.0053426,0.0870573
53,Prok_Taxa00070,0.0,1.0,0.0,0.5,0.2986,0.1014,0.238,0.2503,0.1473524,0.1614479
54,Prok_Taxa00071,0.6,1.0,0.9,1.0,0.9854,0.8203,0.0424,0.1444,0.0046834,0.0537482
55,Prok_Taxa00073,0.0,1.5,0.6,1.5,0.9414,0.0052,0.0841,0.253,0.0183941,0.1648994
56,Prok_Taxa00075,0.0,1.0,0.6,0.8,0.9513,0.8218,0.0769,0.1941,0.0153784,0.0970513
57,Prok_Taxa00076,0.4,2.0,0.9,1.0,0.9852,0.8582,0.0427,0.1294,0.0047426,0.0431341
58,Prok_Taxa00077,0.0,1.5,0.6,1.5,0.93,0.2278,0.0917,0.2465,0.0218561,0.1566361
59,Prok_Taxa00078,0.0,1.5,0.4,0.5,0.9281,0.1066,0.093,0.2495,0.0224783,0.1603808
60,Prok_Taxa00079,0.0,0.5,0.0,0.5,0.9538,0.5059,0.0749,0.2409,0.0146094,0.1495693
61,Prok_Taxa00080,0.4,2.0,0.8,2.0,0.9215,0.4746,0.0978,0.2312,0.0248594,0.1377537
62,Prok_Taxa00082,0.2,0.5,0.6,0.5,0.9867,0.8765,0.0407,0.1211,0.0042992,0.037777
63,Prok_Taxa00083,0.0,0.5,0.2,1.0,0.9866,0.7907,0.0407,0.1537,0.0043,0.0608912
64,Prok_Taxa00084,0.0,1.0,0.6,0.5,0.9441,0.238,0.0822,0.2448,0.0175912,0.1544399
65,Prok_Taxa00085,0.0,1.0,0.6,1.5,0.9831,0.6604,0.0457,0.1912,0.0054299,0.0941891
66,Prok_Taxa00086,0.0,0.5,0.8,0.5,0.9341,0.0933,0.1477,0.2498,0.0567649,0.1608685
67,Prok_Taxa00087,0.0,1.5,0.6,1.0,0.9853,0.7694,0.0426,0.1611,0.0047129,0.0668966
68,Prok_Taxa00088,0.0,1.0,0.8,0.5,0.9284,0.0936,0.1503,0.2499,0.0587626,0.1609257
69,Prok_Taxa00089,0.0,0.8,0.4,0.5,0.937,0.6693,0.0871,0.1921,0.0197338,0.0950629
70,Prok_Taxa00091,0.0,1.5,0.0,1.0,0.9148,0.0868,0.1007,0.2497,0.0263956,0.1606696
71,Prok_Taxa00092,0.4,2.0,0.8,0.8,0.9198,0.0834,0.1215,0.2498,0.0383957,0.1608332
72,Prok_Taxa00093,0.0,0.8,0.0,0.8,0.86,0.0398,0.1273,0.2517,0.0421341,0.1632519
73,Prok_Taxa00094,0.8,0.8,0.0,0.5,0.9708,0.7432,0.0599,0.2026,0.0093347,0.1057775
74,Prok_Taxa00095,0.4,1.0,0.8,1.5,0.918,0.083,0.1072,0.2498,0.0299082,0.1607705
75,Prok_Taxa00097,0.2,2.0,0.9,0.5,0.9819,0.8322,0.0475,0.1401,0.0058656,0.0505525
76,Prok_Taxa00098,0.6,1.0,0.0,0.5,0.8648,0.0137,0.1252,0.2512,0.0407842,0.1626054
77,Prok_Taxa00099,0.0,0.8,0.0,0.5,0.8878,0.0963,0.1148,0.2513,0.0342986,0.1626849
78,Prok_Taxa00100,0.8,0.5,0.0,0.5,0.988,0.7489,0.0386,0.1676,0.0038801,0.0723899
79,Prok_Taxa00101,0.4,1.0,0.8,1.5,0.8801,0.0959,0.1363,0.2497,0.0483413,0.1606176
80,Prok_Taxa00102,0.4,0.5,0.8,0.5,0.9344,0.0898,0.1452,0.2498,0.0548251,0.1608566
81,Prok_Taxa00104,0.6,2.0,0.6,2.0,0.9446,0.1017,0.0819,0.2494,0.0174425,0.160328
82,Prok_Taxa00107,0.0,0.5,0.6,1.0,0.9603,0.81,0.0696,0.1538,0.0125935,0.060919
83,Prok_Taxa00108,0.6,2.0,0.4,1.0,0.9672,0.8396,0.0634,0.1594,0.0104579,0.0654552
84,Prok_Taxa00110,0.8,0.8,0.0,0.5,0.9603,0.7198,0.0696,0.208,0.0125857,0.11153
85,Prok_Taxa00111,0.6,1.5,0.6,1.5,0.9026,0.0969,0.1073,0.25,0.0299696,0.1610572
86,Prok_Taxa00113,0.8,1.5,0.0,0.5,0.9501,0.7354,0.0778,0.196,0.0157386,0.0989873
87,Prok_Taxa00114,0.4,2.0,0.4,1.0,0.9758,0.8597,0.0545,0.1298,0.0077247,0.0434157
88,Prok_Taxa00115,0.0,0.5,0.8,0.5,0.9857,0.856,0.0421,0.1383,0.0046156,0.0492974
89,Prok_Taxa00116,0.0,0.5,0.6,0.5,0.8842,-0.0,0.1165,0.2519,0.0353111,0.1635823
90,Prok_Taxa00117,0.0,1.5,0.0,0.5,0.8758,0.088,0.1204,0.2498,0.0376916,0.1608643
91,Prok_Taxa00118,0.0,1.5,0.0,0.5,0.905,0.0898,0.1061,0.2498,0.029271,0.1608552
92,Prok_Taxa00119,0.8,1.0,0.6,0.5,0.9877,0.8613,0.039,0.129,0.0039578,0.0428513
93,Prok_Taxa00120,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
94,Prok_Taxa00121,0.4,0.8,0.6,1.0,0.9535,0.8656,0.0751,0.1339,0.0146894,0.0462047
95,Prok_Taxa00122,0.0,0.8,0.6,0.5,0.9865,0.7132,0.0409,0.1791,0.0043571,0.0826903
96,Prok_Taxa00123,0.6,0.8,0.0,2.0,0.9291,0.0035,0.0922,0.2535,0.0221278,0.1656561
97,Prok_Taxa00125,0.0,1.5,0.6,0.5,0.9131,0.1519,0.1017,0.2481,0.0269054,0.1586746
98,Prok_Taxa00126,0.0,1.0,0.6,0.8,0.912,0.169,0.1023,0.2489,0.027211,0.1596982
99,Prok_Taxa00128,0.0,1.5,0.0,0.8,0.9264,0.168,0.0939,0.2506,0.0229486,0.1617957
100,Prok_Taxa00129,0.4,1.5,0.6,1.0,0.9783,0.812,0.0517,0.1529,0.0069604,0.0602557
101,Prok_Taxa00130,0.8,0.8,0.8,1.0,0.972,0.8809,0.0586,0.1221,0.0089445,0.0383901
102,Prok_Taxa00132,0.0,1.5,0.4,0.5,0.9781,0.8012,0.0521,0.1589,0.0070584,0.0650444
103,Prok_Taxa00133,0.0,2.0,0.2,1.0,0.991,0.8204,0.0334,0.1441,0.0028946,0.0534964
104,Prok_Taxa00134,0.2,1.5,0.4,0.5,0.9783,0.8884,0.0517,0.1163,0.0069505,0.034829
105,Prok_Taxa00135,0.2,2.0,0.0,1.0,0.9777,0.6435,0.0524,0.1942,0.007143,0.0971728
106,Prok_Taxa00136,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
107,Prok_Taxa00138,0.2,0.5,0.6,0.8,0.9848,0.8107,0.0433,0.1542,0.0048793,0.0612449
108,Prok_Taxa00139,0.0,1.5,0.4,0.8,0.8912,0.184,0.1132,0.249,0.0333107,0.1598013
109,Prok_Taxa00140,0.4,1.5,0.8,1.5,0.856,0.2108,0.1305,0.2465,0.0443256,0.1566301
110,Prok_Taxa00143,0.0,2.0,0.8,1.5,0.9788,0.82,0.0511,0.1438,0.0067802,0.0533236
111,Prok_Taxa00144,0.0,0.8,0.6,0.5,0.9726,0.8061,0.058,0.1808,0.0087609,0.0842781
112,Prok_Taxa00145,0.9,2.0,0.0,0.8,0.9864,0.8365,0.041,0.141,0.0043706,0.0512375
113,Prok_Taxa00146,0.0,1.0,0.0,0.5,0.8045,0.0664,0.1481,0.2503,0.0570782,0.1614942
114,Prok_Taxa00147,0.2,0.8,0.2,0.5,0.9856,0.7733,0.0421,0.1615,0.0046189,0.0672235
115,Prok_Taxa00148,0.2,1.5,0.0,1.0,0.9901,0.8787,0.0349,0.1205,0.0031716,0.0373892
116,Prok_Taxa00149,0.8,0.8,0.8,1.0,0.9769,0.8523,0.0533,0.1395,0.007384,0.050116
117,Prok_Taxa00150,0.2,1.5,0.0,0.5,0.9843,0.6404,0.044,0.194,0.0050383,0.0970152
118,Prok_Taxa00151,0.2,1.5,0.2,0.5,0.9888,0.8839,0.0373,0.1287,0.0036237,0.0427121
119,Prok_Taxa00152,0.0,1.5,0.4,0.5,0.7229,0.2824,0.1724,0.2413,0.077322,0.1500926
120,Prok_Taxa00156,0.0,1.5,0.4,0.5,0.79,0.1416,0.1529,0.248,0.0608203,0.1585382
121,Prok_Taxa00158,0.0,1.5,0.8,1.5,0.9003,0.1654,0.1107,0.2476,0.0318563,0.1580383
122,Prok_Taxa00160,0.0,1.0,0.6,1.0,0.9786,0.6683,0.0513,0.1929,0.0068442,0.095884
123,Prok_Taxa00161,0.6,1.5,0.0,0.5,0.8197,0.0978,0.1429,0.2502,0.0531586,0.1613005
124,Prok_Taxa00162,0.0,1.5,0.6,0.5,0.9814,0.6633,0.0478,0.1944,0.0059561,0.0974139
125,Prok_Taxa00163,0.0,2.0,0.0,0.5,0.969,0.6815,0.0616,0.1981,0.0098851,0.1010818
126,Prok_Taxa00164,0.4,0.5,0.8,0.5,0.9497,0.0995,0.1559,0.2499,0.0632151,0.1608757
127,Prok_Taxa00165,0.0,1.0,0.6,0.5,0.9528,0.5917,0.0757,0.2099,0.014923,0.1134869
128,Prok_Taxa00166,0.2,2.0,0.0,0.5,0.9873,0.842,0.0396,0.1434,0.0040835,0.0530145
129,Prok_Taxa00167,0.8,1.0,0.8,0.8,0.975,0.8237,0.0554,0.1475,0.0079913,0.0560444
130,Prok_Taxa00168,0.0,2.0,0.6,2.0,0.9667,0.755,0.0638,0.1687,0.0105882,0.0733542
131,Prok_Taxa00169,0.4,1.0,0.8,2.0,0.9563,0.7594,0.0734,0.2375,0.0140213,0.1453958
132,Prok_Taxa00171,0.2,2.0,0.0,0.8,0.9843,0.6017,0.044,0.2092,0.0050297,0.1128056
133,Prok_Taxa00172,0.6,2.0,0.0,1.5,0.9822,0.7754,0.0468,0.163,0.0057093,0.0684381
134,Prok_Taxa00174,0.0,0.5,0.2,1.0,0.9854,0.8292,0.0425,0.1435,0.0046984,0.0530751
135,Prok_Taxa00176,0.0,1.0,0.0,0.5,0.8531,0.0003,0.1302,0.252,0.0441219,0.1636906
136,Prok_Taxa00177,0.0,0.8,0.8,1.0,0.9828,0.8623,0.046,0.1297,0.0055146,0.043376
137,Prok_Taxa00178,0.0,0.8,0.6,1.5,0.9023,0.2779,0.1075,0.2445,0.0300804,0.1540061
138,Prok_Taxa00179,0.6,0.8,0.9,2.0,0.9893,0.8653,0.0363,0.1352,0.0034348,0.0470808
139,Prok_Taxa00180,0.2,1.5,0.6,1.5,0.9878,0.7851,0.0389,0.1656,0.0039361,0.0706664
140,Prok_Taxa00181,0.4,1.5,0.8,0.5,0.3565,0.3139,0.2352,0.241,0.1438707,0.1496761
141,Prok_Taxa00182,0.9,2.0,0.8,1.0,0.9817,0.7854,0.0476,0.1581,0.0058916,0.0644446
142,Prok_Taxa00184,0.6,1.0,0.6,0.5,0.96,0.4751,0.0699,0.2278,0.0126936,0.1337272
143,Prok_Taxa00185,0.2,0.5,0.2,2.0,0.979,0.7699,0.0509,0.1606,0.0067274,0.0664488
144,Prok_Taxa00186,0.0,2.0,0.0,0.5,0.9811,0.8673,0.0483,0.1291,0.0060668,0.0429791
145,Prok_Taxa00188,0.4,0.5,0.0,0.5,0.9807,0.8653,0.0488,0.1277,0.0061878,0.0420186
146,Prok_Taxa00189,0.0,0.5,0.8,0.5,0.9488,0.1663,0.0788,0.2474,0.0161705,0.1577609
147,Prok_Taxa00190,0.4,1.5,0.4,0.5,0.9532,0.1147,0.0755,0.2492,0.014825,0.1600588
148,Prok_Taxa00191,0.6,1.0,0.0,2.0,0.9561,0.7515,0.0732,0.1857,0.0139364,0.088913
149,Prok_Taxa00193,0.4,1.0,0.8,1.5,0.8867,0.0996,0.1188,0.2497,0.0367279,0.1606623
150,Prok_Taxa00194,0.8,1.0,0.4,1.5,0.9653,0.727,0.0651,0.1782,0.0110236,0.0818379
151,Prok_Taxa00195,0.6,0.5,0.0,0.8,0.9409,0.0438,0.0845,0.2557,0.018586,0.1685271
152,Prok_Taxa00196,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
153,Prok_Taxa00197,0.6,0.8,0.4,1.0,0.9694,0.285,0.0612,0.2509,0.0097455,0.1622014
154,Prok_Taxa00199,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
155,Prok_Taxa00201,0.8,1.0,0.6,1.0,0.9876,0.7269,0.0391,0.1938,0.0039773,0.0968117
156,Prok_Taxa00202,0.8,1.0,0.8,1.0,0.9807,0.8581,0.0487,0.1293,0.0061732,0.0430986
157,Prok_Taxa00203,0.0,0.5,0.4,0.5,0.8981,0.1638,0.1097,0.2487,0.0312875,0.1593819
158,Prok_Taxa00206,0.6,2.0,0.6,0.5,0.9877,0.845,0.039,0.1355,0.0039474,0.0473163
159,Prok_Taxa00207,0.0,0.5,0.6,0.5,0.9783,0.8028,0.0517,0.1519,0.0069541,0.0594656
160,Prok_Taxa00208,0.6,2.0,0.0,0.5,0.9747,0.8187,0.0557,0.147,0.0080787,0.0557003
161,Prok_Taxa00209,0.6,0.5,0.0,1.0,0.9832,0.8403,0.0455,0.1459,0.0053781,0.0548542
162,Prok_Taxa00211,0.8,0.5,0.6,0.5,0.9907,0.84,0.0339,0.1397,0.002992,0.0503092
163,Prok_Taxa00212,0.4,1.5,0.6,0.8,0.9665,0.7919,0.0641,0.1649,0.0106837,0.0701148
164,Prok_Taxa00213,0.0,0.5,0.6,1.5,0.9694,0.1168,0.0613,0.2494,0.0097706,0.1602769
165,Prok_Taxa00214,0.4,0.8,0.2,0.5,0.9841,0.8674,0.0443,0.1267,0.0051003,0.0413429
